nama_produk,kategori,harga,stok,satuan,supplier,berat_gram,deskripsi
Tepung Maizena 150g,Bumbu Dapur,8000,150,pcs,PT Maizenaku,150,Tepung maizena murni
Santan Kelapa 200ml,Bumbu Dapur,10000,100,pcs,PT Kara,200,Santan kelapa instant
Bumbu Penyedap 100g,Bumbu Dapur,5500,250,pcs,PT Ajinomoto,100,Penyedap rasa ayam
Susu Kental Manis,Dairy,12000,200,kaleng,PT Frisian Flag,385,Susu kental manis
Keju Cheddar 165g,Dairy,32000,60,pcs,PT Kraft,165,Keju cheddar slice
Yogurt 200ml,Dairy,8000,100,cup,PT Cimory,200,Yogurt rasa strawberry
Butter 227g,Dairy,45000,50,pcs,PT Anchor,227,Butter tawar premium
Whipping Cream 250ml,Dairy,35000,40,pcs,PT Elle Vire,250,Whipping cream segar
Daging Ayam 1kg,Protein,38000,80,kg,Peternakan Sejahtera,1000,Daging ayam segar
Daging Sapi 500g,Protein,75000,50,pcs,PT Meat Shop,500,Daging sapi has dalam
Ikan Salmon 200g,Protein,85000,30,pcs,PT Frozen Fish,200,Fillet salmon import
Udang Kupas 250g,Protein,55000,40,pcs,PT Frozen Fish,250,Udang kupas segar
Tahu Putih 10pcs,Protein,8000,100,pack,Tahu Sumedang,500,Tahu putih segar
Tempe 200g,Protein,5000,150,pcs,Tempe Malang,200,Tempe kedelai murni
Sosis Ayam 500g,Protein,35000,80,pack,PT So Good,500,Sosis ayam premium
Nugget Ayam 500g,Protein,42000,70,pack,PT So Good,500,Nugget ayam original
Bakso Sapi 300g,Protein,32000,60,pack,PT Bernardi,300,Bakso sapi urat
Wortel 500g,Sayuran,12000,100,pcs,Pasar Sayur,500,Wortel segar import
Kentang 1kg,Sayuran,18000,80,kg,Pasar Sayur,1000,Kentang dieng
Bawang Merah 250g,Sayuran,15000,120,pcs,Pasar Sayur,250,Bawang merah brebes
Bawang Putih 250g,Sayuran,20000,100,pcs,Pasar Sayur,250,Bawang putih tunggal
Cabai Merah 250g,Sayuran,25000,80,pcs,Pasar Sayur,250,Cabai merah keriting
Tomat 500g,Sayuran,10000,100,pcs,Pasar Sayur,500,Tomat merah segar
Kangkung,Sayuran,5000,150,ikat,Pasar Sayur,200,Kangkung segar
Bayam,Sayuran,5000,150,ikat,Pasar Sayur,200,Bayam hijau segar
Sawi Hijau,Sayuran,6000,120,ikat,Pasar Sayur,300,Sawi hijau segar
Brokoli 300g,Sayuran,22000,60,pcs,Pasar Sayur,300,Brokoli import segar
Apel Fuji 1kg,Buah,45000,80,kg,Import Buah,1000,Apel fuji manis
Jeruk Mandarin 1kg,Buah,38000,100,kg,Import Buah,1000,Jeruk mandarin manis
Pisang Cavendish 1kg,Buah,25000,120,sisir,Pasar Buah,1000,Pisang cavendish
Semangka 3kg,Buah,35000,50,buah,Pasar Buah,3000,Semangka merah manis
Melon 2kg,Buah,28000,60,buah,Pasar Buah,2000,Melon hijau manis
Anggur Merah 500g,Buah,55000,40,pack,Import Buah,500,Anggur merah seedless
Mangga Harum Manis 1kg,Buah,32000,70,kg,Pasar Buah,1000,Mangga harum manis
Pepaya 2kg,Buah,20000,80,buah,Pasar Buah,2000,Pepaya california
Nanas 1.5kg,Buah,18000,60,buah,Pasar Buah,1500,Nanas madu
Strawberry 250g,Buah,35000,50,pack,Import Buah,250,Strawberry segar
Roti Tawar,Roti & Kue,15000,100,pcs,PT Sari Roti,400,Roti tawar gandum
Roti Manis,Roti & Kue,18000,80,pack,PT Sari Roti,300,Roti manis isi coklat
Donat,Roti & Kue,5000,150,pcs,Toko Kue,80,Donat gula
Brownies,Roti & Kue,25000,60,pack,Toko Kue,200,Brownies coklat panggang
Cake Slice,Roti & Kue,20000,50,pcs,Toko Kue,150,Cake slice aneka rasa
Es Krim 1L,Frozen,55000,40,cup,PT Walls,1000,Es krim vanilla
Frozen Pizza,Frozen,45000,30,pcs,PT Pizza Hut,350,Pizza frozen pepperoni
Kentang Goreng 1kg,Frozen,38000,50,pack,PT McCain,1000,Kentang goreng beku
Dimsum Mix,Frozen,42000,40,pack,Dimsum House,500,Dimsum aneka rasa
Es Teh Botol 450ml,Minuman,5000,300,botol,PT Sosro,450,Es teh manis botol
Jus Jeruk 1L,Minuman,22000,80,kotak,PT Buavita,1000,Jus jeruk asli
Pocari Sweat 500ml,Minuman,8000,150,botol,PT Otsuka,500,Minuman isotonik
Yakult 5pcs,Minuman,12000,100,pack,PT Yakult,325,Minuman probiotik
Energen 30g,Minuman,3500,200,sachet,PT Mayora,30,Sereal instan
Vitamin C 500mg,Kesehatan,35000,80,botol,PT Kalbe,30,Vitamin C tablet
Minyak Kayu Putih 60ml,Kesehatan,25000,100,botol,PT Cap Lang,60,Minyak kayu putih
Madu Murni 250ml,Kesehatan,65000,50,botol,PT Madu Nusantara,250,Madu murni asli
Obat Nyamuk Bakar,Kebersihan,12000,150,pack,PT Baygon,10,Obat nyamuk bakar
Pewangi Ruangan,Kebersihan,28000,80,pcs,PT Glade,180,Pewangi ruangan lavender
Kapas 100g,Kesehatan,15000,100,pack,PT Selection,100,Kapas wajah lembut
Tissue 250 lembar,Kebersihan,18000,200,pack,PT Paseo,250,Tissue wajah lembut
Tisu Basah 50pcs,Kebersihan,22000,100,pack,PT Mitu,50,Tisu basah antibakteri
Pembalut Wanita,Kesehatan,25000,120,pack,PT Softex,10,Pembalut wanita wings
Masker 50pcs,Kesehatan,45000,60,box,PT Sensi,50,Masker medis 3 ply
